,TERR_NAME,surface_area_total_km2,HR_baseline,HR_reporting_30,nr_stations_baseline,nr_stations_reporting_30,HR_NN_baseline_mean,HR_NN_baseline_std,HR_NN_reporting_30_mean,HR_NN_reporting_30_std,STATUS,surface_area_km2_wb,eez_area_km2,int_water_km2
KOR,Republic of Korea,488646.00390625,103.06667364067428,104.20556648665922,46.0,45.0,29.470881948115846,12.760255250034291,28.6701081532627,11.677212739589313,WMO Member,97489.00390625,347641.0,43516.0
KWT,Kuwait,29013.0,42.58300717422385,49.17062130988381,16.0,12.0,18.42200575383721,16.191675972533947,24.89390174633049,14.110324849571077,WMO Member,17820.0,11193.0,
LAO,Lao People's Democratic Republic,230800.0,107.42439201596628,240.20824298928628,20.0,4.0,37.08207148223967,27.80833998571822,98.80290219088533,37.18848323068839,WMO Member,230800.0,,
LBN,Lebanon,30420.0,87.20665112249179,123.32882874656677,4.0,2.0,20.385921876379996,23.53963496601334,40.77184375275999,0.0,WMO Member,10230.0,20190.0,
LBR,Liberia,349214.0,590.9433136943002,,1.0,,,,,,WMO Member,96320.0,252894.0,
LBY,Libya,2207313.0,324.206944492469,,21.0,,176.54756797784245,98.4552913454109,,,WMO Member,1759540.0,364696.0,83077.0
LCA,Saint Lucia,16080.0,89.66604708583957,126.80693987317886,2.0,1.0,15.423937287346655,0.0,,,WMO Member,610.0,15470.0,
LIE,Liechtenstein,160.0,,,,,,,,,not WMO Member,160.0,,
LKA,Sri Lanka,598563.0,168.82831516069808,206.77161313874785,21.0,14.0,11.107620108985726,9.669483247764493,13.610216843611541,15.304791679752602,WMO Member,62710.0,535853.0,
LSO,Lesotho,30360.0,100.59821071967434,,3.0,,108.19572505803347,28.80073130794012,,,WMO Member,30360.0,,
LTU,Lithuania,69878.001953125,59.10922176493487,64.11295269385899,20.0,17.0,53.746367417620476,11.26681322272933,59.192810737680986,16.679545789881406,WMO Member,62642.001953125,6800.0,436.0
LUX,Luxembourg,2430.0,49.29503017546495,49.29503017546495,1.0,1.0,,,,,WMO Member,2430.0,,
LVA,Latvia,91114.0,62.94027534790077,64.35484017962793,23.0,22.0,54.06106215240443,16.09236248679347,55.03911013590572,16.337347337508838,WMO Member,62180.0,28212.0,722.0
MAC,"Macao, China",30.399999618530302,,,,,,,,,WMO Member,30.399999618530302,,
MAR,Morocco,729310.0,133.37184403196878,190.9594197728931,41.0,20.0,78.37752222704462,86.97722717209905,100.51180923564466,84.80902136580237,WMO Member,446300.0,280604.0,2406.0
MCO,Monaco,289.0,,,,,,,,,WMO Member,2.0,287.0,
MDA,Republic of Moldova,32890.0,45.33900087121462,45.33900087121462,16.0,16.0,43.51774587216054,17.12273101503946,43.51774587216054,17.12273101503946,WMO Member,32890.0,,
MDG,Madagascar,1822432.0,269.9949629159774,603.7270906626602,25.0,5.0,100.32224824941501,55.35439253223962,318.5071840272293,117.32218525890102,WMO Member,581800.0,1199540.0,41092.0
MDV,Maldives,929635.0,,,,,,,,,WMO Member,300.0,929335.0,
MEX,Mexico,5203438.0,261.6606379906695,304.82541841894636,76.0,56.0,45.20297300769708,29.959954952235684,60.664263522876546,68.80453534569912,WMO Member,1943950.0,3195534.0,63954.0
MHL,Marshall Islands,2021062.0,710.8203007793179,,4.0,,93.58402542481012,108.66257014696382,,,not WMO Member,180.0,2009620.0,11262.0
MKD,The former Yugoslav Republic of Macedonia,25220.0,35.510561809129406,42.443239407808775,20.0,14.0,24.371029435412893,10.662421877797751,33.45276156678228,13.080360313758263,WMO Member,25220.0,,
MLI,Mali,1220190.0,253.41769140253305,318.87693550961006,19.0,12.0,166.6328766504639,44.148347476527576,145.2144869237433,33.89973415033448,WMO Member,1220190.0,,
MLT,Malta,53434.0,163.45335726133004,163.45335726133004,2.0,2.0,1.8536194271650834,0.0,1.8536194271650834,0.0,WMO Member,320.0,52923.0,191.0
MMR,Myanmar,1264568.0,159.0325752794062,,50.0,,22.46725539221015,27.924134580860507,,,WMO Member,653080.0,499284.0,112204.0
MNE,Montenegro,19824.0,53.21653878260028,53.21653878260028,7.0,7.0,26.076096702865303,29.544440181492227,26.076096702865307,29.544440181492227,WMO Member,13450.0,6374.0,
MNG,Mongolia,1553560.0,162.26991533777544,194.65792384866631,59.0,41.0,63.871923386683065,48.80273345995232,75.77866052695268,65.74108978360104,WMO Member,1553560.0,,
MOZ,Mozambique,1368547.0,168.85317833352542,442.1614120270043,48.0,7.0,69.85762011305167,55.22153215580989,114.31559981858082,123.67509241332921,WMO Member,786380.0,567883.0,14284.0
MRT,Mauritania,1212234.0,305.36661446656086,778.5351629823792,13.0,2.0,210.88419789923444,48.75976057119787,303.21197468937663,0.0,WMO Member,1030700.0,173728.0,7806.0
MSR,Montserrat,7213.0,,,,,,,,,WMO Member,,7213.0,
MUS,Mauritius,1284452.0,566.6683333308823,1133.3366666617646,4.0,1.0,14.504660279317376,9.270963957464602,,,WMO Member,2030.0,1282422.0,
MWI,Malawi,94280.0,68.65857557508748,,20.0,,46.377266304908964,22.524984316802783,,,WMO Member,94280.0,,
MYS,Malaysia,864058.0,202.84382920764202,248.431939515491,21.0,14.0,54.6913163770656,45.52297227757895,72.32036522489892,52.286261314996835,WMO Member,328550.0,513039.0,22469.0
NAM,Namibia,1386799.0,294.40607585442257,480.7631086789696,16.0,6.0,155.7275168763028,106.00825234953885,293.767106862595,104.27175459810947,WMO Member,823290.0,563509.0,
NCL,New Caledonia,1234054.0,392.7553309631837,392.7553309631837,8.0,8.0,77.84940586846564,29.783492829986628,77.84940586846564,29.783492829986628,WMO Member,18280.0,1179244.0,36530.0
NER,Niger,1266700.0,290.5970864731211,300.7965615304993,15.0,14.0,159.05205605030196,113.80789713970931,144.17526767657967,101.84995356390627,WMO Member,1266700.0,,
NGA,Nigeria,1090609.0,165.12184894798142,602.9397427051341,40.0,3.0,95.97926694549989,57.28456371486743,463.40406058803427,19.225628511854985,WMO Member,910770.0,179839.0,
NIC,Nicaragua,356985.0,225.82705139742922,,7.0,,40.34351819118388,31.569409835528795,,,WMO Member,120340.0,214630.0,22015.0
NIU,Niue,319089.0,564.879633196312,,1.0,,,,,,WMO Member,,319089.0,
NLD,Netherlands,103314.0,37.36489174526182,48.45663478354078,74.0,44.0,137.08690613112034,986.8408312058659,226.7002258348654,1280.5290399678327,WMO Member,33690.0,64058.0,5566.0
